meterID,testYear,installationYear,meterSize,meterMake,accuracy
86242087,2019,2008,0.625,NEPTUNE,100.11
18855656,2019,2003,0.625,BADGER,100.84
14970119,2019,2010,0.625,BADGER,100.65
16016841,2019,2010,0.625,BADGER,100.63
15199924,2018,2015,0.625,BADGER,100.31
36229200,2019,1991,0.625,NEPTUNE,101.86
90848354,2018,1990,0.625,BADGER,100.35
36838768,2019,1992,0.625,NEPTUNE,100.51
90488658,2019,1990,0.625,BADGER,100.19
16018465,2018,2016,0.625,BADGER,100.37
79079192,2018,2004,0.625,NEPTUNE,100.63
18855136,2019,2003,0.625,BADGER,100.26
17566180,2018,2001,0.625,BADGER,100.6
18086356,2018,2002,0.625,BADGER,100.15
18103970,2019,2010,0.625,BADGER,100.19
18474904,2019,2002,1,BADGER,100.83
31228589,2018,1989,0.625,NEPTUNE,101.79
19077627,2019,2003,0.625,BADGER,100.03
15251695,2019,2015,0.625,BADGER,100.46
18856212,2019,2003,0.625,BADGER,100.94
36441247,2019,1991,0.625,NEPTUNE,100.31
90488312,2019,1990,0.625,BADGER,100.54
38992981,2019,1994,0.625,NEPTUNE,100.55
45575029,2019,1999,0.625,NEPTUNE,100.5
85379072,2018,2007,0.625,NEPTUNE,-3.87
80863289,2019,2005,0.625,NEPTUNE,100.08
18055191,2019,2010,0.625,BADGER,100.63
18102376,2019,2010,0.625,BADGER,100.44
18656160,2018,2003,0.625,BADGER,100.14
28996944,2018,1983,0.625,NEPTUNE,101.55
94707899,2019,1994,0.625,BADGER,100.05
90366970,2018,2011,0.625,NEPTUNE,100.76
41748233,2018,1996,0.625,NEPTUNE,100.22
18376616,2019,2010,0.625,BADGER,100.63
94205068,2019,1994,0.625,BADGER,100.73
73696276,2019,2000,0.625,NEPTUNE,101.24
80324944,2018,2004,0.625,NEPTUNE,100.32
28883580,2018,1983,0.625,NEPTUNE,101.62
17232880,2018,2010,1,BADGER,100.67
12062592,2018,2010,1,BADGER,100.18
15201789,2019,2010,0.625,BADGER,100.86
41012058,2019,1995,0.625,NEPTUNE,100.24
43765871,2018,1997,0.625,NEPTUNE,100.29
18829090,2018,2018,0.625,BADGER,100.63
42499989,2019,1996,0.625,NEPTUNE,100.03
60811854,2018,2013,1,NEPTUNE,100.4
18855322,2019,2003,0.625,BADGER,100.31
90847731,2018,1990,0.625,BADGER,100.56
18432695,2018,2002,0.625,BADGER,100.22
15340284,2018,2010,1,BADGER,100.25
3492682,2018,1957,0.625,TRIDENT,100.08
80863353,2019,2005,0.625,NEPTUNE,100.25
16587172,2019,2010,0.625,BADGER,100.77
79405713,2019,2004,0.625,NEPTUNE,100.23
17566187,2018,2001,0.625,BADGER,100.34
32799747,2019,1988,0.625,NEPTUNE,100.36
29062726,2018,1983,0.625,NEPTUNE,100.03
41161884,2019,1995,0.625,NEPTUNE,100.01
14412236,2019,2014,0.625,BADGER,100.25
19078535,2018,2003,0.625,BADGER,100.12
31141889,2019,1980,0.625,NEPTUNE,101.76
18856084,2018,2003,0.625,BADGER,100.12
94705548,2018,1994,0.625,BADGER,100.87
16722521,2019,2010,0.625,BADGER,100.22
13622461,2019,2000,0.625,BADGER,100.8
74230546,2019,2000,0.625,NEPTUNE,100.14
80862866,2019,2005,0.625,NEPTUNE,100.12
17729077,2019,2017,0.625,BADGER,100.98
8781150,2019,1958,0.625,TRIDENT,100.39
15555470,2019,2010,0.625,BADGER,100.31
