,meterID,testYear,installationYear,meterSize,meterMake,accuracy,gallons_lost
1491,81548563,2019,2005,0.625,NEPTUNE,100.12,-0.12000000000000455
1492,18084351,2019,2018,0.625,BADGER,100.04,-0.04000000000000625
1502,51902648,2019,2010,0.625,BADGER,100.08,-0.0799999999999983
1516,89945434,2019,2010,0.625,NEPTUNE,100.02,-0.01999999999999602
1524,42948675,2019,1997,0.625,NEPTUNE,101.04,-1.0400000000000063
1529,30930027,2018,1986,0.625,NEPTUNE,100.73,-0.730000000000004
1541,18855306,2019,2003,0.625,BADGER,100.33,-0.3299999999999983
1542,32879571,2019,2006,1.0,BADGER,100.5,-0.5
1546,17418274,2019,2001,0.625,BADGER,100.1,-0.09999999999999432
1550,17737486,2019,2002,0.625,BADGER,100.01,-0.010000000000005116
1555,18068256,2018,2010,1.0,BADGER,100.26,-0.2600000000000051
1556,15250662,2019,2010,0.625,BADGER,100.56,-0.5600000000000023
1558,84064451,2019,2007,0.625,NEPTUNE,100.34,-0.3400000000000034
1561,45250857,2019,1998,0.625,NEPTUNE,100.26,-0.2600000000000051
1564,60683410,2019,2000,1.0,NEPTUNE,100.17,-0.1700000000000017
1566,79706457,2019,2004,0.625,NEPTUNE,100.02,-0.01999999999999602
1567,95040198,2019,1995,0.625,BADGER,100.16,-0.1599999999999966
1569,14684246,2018,2015,0.625,BADGER,100.66,-0.6599999999999966
1573,18855453,2018,2003,0.625,BADGER,100.16,-0.1599999999999966
1576,30503975,2018,1985,0.625,NEPTUNE,100.35,-0.3499999999999943
1577,17921441,2018,2002,0.625,BADGER,100.11,-0.10999999999999943
1581,41160370,2019,1995,0.625,NEPTUNE,100.4,-0.4000000000000057
1584,19079632,2018,2003,0.625,BADGER,100.45,-0.45000000000000284
1588,17737811,2019,2002,0.625,BADGER,100.45,-0.45000000000000284
1589,32163968,2019,2005,1.0,BADGER,102.17,-2.1700000000000017
1596,18657430,2018,2003,0.625,BADGER,100.35,-0.3499999999999943
1597,82819843,2019,2006,0.625,NEPTUNE,100.43,-0.4300000000000068
1601,18377501,2020,2010,0.625,BADGER,100.06,-0.060000000000002274
1607,86242087,2019,2008,0.625,NEPTUNE,100.11,-0.10999999999999943
1609,18855656,2019,2003,0.625,BADGER,100.84,-0.8400000000000034
1616,14970119,2019,2010,0.625,BADGER,100.65,-0.6500000000000057
1625,16016841,2019,2010,0.625,BADGER,100.63,-0.6299999999999955
1629,15199924,2018,2015,0.625,BADGER,100.31,-0.3100000000000023
1632,36229200,2019,1991,0.625,NEPTUNE,101.86,-1.8599999999999994
1643,90848354,2018,1990,0.625,BADGER,100.35,-0.3499999999999943
1653,36838768,2019,1992,0.625,NEPTUNE,100.51,-0.5100000000000051
1662,90488658,2019,1990,0.625,BADGER,100.19,-0.18999999999999773
1665,16018465,2018,2016,0.625,BADGER,100.37,-0.37000000000000455
1668,79079192,2018,2004,0.625,NEPTUNE,100.63,-0.6299999999999955
1671,18855136,2019,2003,0.625,BADGER,100.26,-0.2600000000000051
1674,17566180,2018,2001,0.625,BADGER,100.6,-0.5999999999999943
1680,18086356,2018,2002,0.625,BADGER,100.15,-0.15000000000000568
1686,18103970,2019,2010,0.625,BADGER,100.19,-0.18999999999999773
1689,18474904,2019,2002,1.0,BADGER,100.83,-0.8299999999999983
1691,31228589,2018,1989,0.625,NEPTUNE,101.79,-1.7900000000000063
1696,19077627,2019,2003,0.625,BADGER,100.03,-0.030000000000001137
1709,15251695,2019,2015,0.625,BADGER,100.46,-0.45999999999999375
1710,18856212,2019,2003,0.625,BADGER,100.94,-0.9399999999999977
1711,36441247,2019,1991,0.625,NEPTUNE,100.31,-0.3100000000000023
1712,90488312,2019,1990,0.625,BADGER,100.54,-0.5400000000000063
1717,38992981,2019,1994,0.625,NEPTUNE,100.55,-0.5499999999999972
1721,45575029,2019,1999,0.625,NEPTUNE,100.5,-0.5
1737,85379072,2018,2007,0.625,NEPTUNE,-3.87,103.87
1739,80863289,2019,2005,0.625,NEPTUNE,100.08,-0.0799999999999983
