meterID,testYear,installationYear,meterSize,meterMake,accuracy
44465249,2019,1998,5/8,NEPTUNE,98.56%
89944781,2019,2010,"5/8""",NEPTUNE,98.69%
15605034,2019,2010,"5/8""",BADGER,100.48%
94796364,2019,1994,1,BADGER,98.66%
79706405,2019,2004,5/8,NEPTUNE,98.27%
37529110,2019,1992,5/8,NEPTUNE,99.45%
78395985,2018,2003,5/8,NEPTUNE,98.77%
81547654,2019,2005,5/8,NEPTUNE,99.78%
38024909,2019,1993,5/8,NEPTUNE,98.97%
81546803,2018,2005,5/8,NEPTUNE,85.53%
34079633,2018,1989,5/8,NEPTUNE,98.36%
94304998,2018,1994,5/8,BADGER,100.48%
42285009,2018,1996,5/8,NEPTUNE,98.46%
22769205,2018,1978,"5/8""",NEPTUNE,94.36%
44465815,2019,1998,5/8,NEPTUNE,99.29%
86242309,2018,2008,5/8,NEPTUNE,85.22%
79404375,2019,2004,5/8,NEPTUNE,97.24%
84319461,2019,2007,5/8,NEPTUNE,98.59%
84066297,2019,2007,5/8,NEPTUNE,99.37%
83102165,2018,2006,5/8,NEPTUNE,96.58%
17984231,2019,2018,"5/8""",BADGER,101.59%
88522997,2019,2009,"5/8""",NEPTUNE,84.62%
36443282,2018,1991,5/8,NEPTUNE,98.98%
34676809,2019,1990,5/8,NEPTUNE,77.57%
41160527,2019,1995,"5/8""",NEPTUNE,99.76%
82820393,2018,2006,5/8,NEPTUNE,82.14%
51900739,2019,2010,"5/8""",BADGER,100.41%
30664928,2019,1985,5/8,NEPTUNE,100.27%
90488316,2018,1990,5/8,BADGER,99.90%
18854776,2019,2018,"5/8""",BADGER,99.19%
82820293,2018,2006,5/8,NEPTUNE,86.39%
90364564,2018,2011,5/8,NEPTUNE,99.80%
9301596,2019,1971,5/8,BADGER,0.00%
35342006,2019,1990,1,NEPTUNE,99.93%
83619451,2019,2007,5/8,NEPTUNE,99.06%
87105816,2019,2009,5/8,NEPTUNE,98.71%
73342101,2019,2000,"5/8""",NEPTUNE,99.73%
78394504,2018,2003,5/8,NEPTUNE,100.11%
44463649,2018,1998,5/8,NEPTUNE,96.66%
9914841,2018,1955,5/8,TRIDENT,95.46%
81212026,2018,2005,5/8,NEPTUNE,99.73%
85379318,2019,2007,5/8,NEPTUNE,99.40%
78792770,2019,2003,5/8,NEPTUNE,98.75%
44465719,2018,1998,5/8,NEPTUNE,98.25%
36836023,2018,1992,5/8,NEPTUNE,98.38%
89403962,2019,2010,5/8,NEPTUNE,98.68%
95041027,2018,1995,5/8,BADGER,100.06%
18503128,2018,2019,"5/8"" ",BADGER,100.64%
41161896,2019,1995,5/8,NEPTUNE,98.98%
41326635,2018,1995,"5/8""",NEPTUNE,95.58%
85380743,2018,2007,5/8,NEPTUNE,96.78%
750598,2019,1950,5/8,TRIDENT,93.79%
41994827,2019,1996,5/8,NEPTUNE,99.25%
42501418,2019,1996,5/8,NEPTUNE,100.11%
92895817,2019,2012,5/8,NEPTUNE,98.31%
19079398,2019,2003,5/8,BADGER,100.08%
79404445,2018,2004,5/8,NEPTUNE,98.84%
41994796,2018,1996,5/8,NEPTUNE,96.58%
40738565,2019,1995,5/8,NEPTUNE,95.28%
41748366,2018,1996,5/8,NEPTUNE,97.72%
18855502,2019,1990,"5/8""",BADGER,100.44%
78733011,2019,2003,5/8,NEPTUNE,98.32%
28342758,2019,1977,5/8,NEPTUNE,100.59%
92895095,2019,2012,"5/8""",NEPTUNE,99.14%
46940438,2018,1999,5/8,NEPTUNE,98.55%
89016900,2018,2010,5/8,NEPTUNE,98.58%
44464470,2019,1998,5/8,NEPTUNE,98.53%
73341715,2019,2000,"5/8""",NEPTUNE,100.24%
85380027,2019,2008,5/8,NEPTUNE,97.20%
90364217,2019,2011,5/8,NEPTUNE,99.85%
8770781,2019,1958,5/8,TRIDENT,84.95%
40649918,2018,1995,5/8,NEPTUNE,99.97%
42720357,2019,1997,5/8,NEPTUNE,100.36%
94205382,2019,1994,5/8,BADGER,99.44%
85379500,2019,2007,5/8,NEPTUNE,98.26%
80863261,2019,2005,5/8,NEPTUNE,99.82%
87594623,2019,2009,5/8,NEPTUNE,99.36%
78393837,2019,2003,5/8,NEPTUNE,99.34%
10668529,2018,1955,5/8,TRIDENT,15.00%
86698057,2019,2008,5/8,NEPTUNE,97.17%
78733462,2018,2003,5/8,NEPTUNE,97.84%
81999396,2019,2006,5/8,NEPTUNE,84.45%
89019437,2018,2010,5/8,NEPTUNE,98.93%
88523567,2019,2009,5/8,NEPTUNE,100.03%
87592290,2018,2009,5/8,NEPTUNE,97.78%
84067207,2018,2007,5/8,NEPTUNE,98.92%
95211286,2018,1995,5/8,BADGER,99.37%
32746664,2018,2002,5/8,BADGER,99.47%
91378971,2018,2011,5/8,NEPTUNE,98.87%
22769301,2018,1970,5/8,NEPTUNE,99.59%
93276254,2018,2013,5/8,NEPTUNE,97.63%
93278255,2019,2013,5/8,NEPTUNE,98.95%
17737968,2019,2002,5/8,BADGER,94.55%
44463706,2018,1998,5/8,NEPTUNE,99.88%
37236966,2019,1992,5/8,NEPTUNE,96.74%
10492222,2019,1954,5/8,TRIDENT,89.14%
94691189,2018,1995,5/8,BADGER,99.30%
375630,2019,1951,5/8,TRIDENT,96.03%
9892199,2018,1951,5/8,TRIDENT,99.84%
43164042,2018,1997,5/8,NEPTUNE,96.20%
18855317,2019,2003,5/8,BADGER,100.29%
45886067,2018,1999,5/8,NEPTUNE,99.31%
41749144,2019,1996,5/8,NEPTUNE,98.92%
86700257,2018,2008,5/8,NEPTUNE,85.21%
89401705,2018,2010,5/8,NEPTUNE,85.75%
43164029,2019,1997,5/8,NEPTUNE,98.78%
44759367,2019,1998,5/8,NEPTUNE,98.50%
6427269,2018,1953,5/8,TRIDENT,98.28%
88523532,2018,2009,5/8,NEPTUNE,99.45%
79405122,2019,2004,5/8,NEPTUNE,99.56%
80611647,2018,2005,5/8,NEPTUNE,99.37%
78394593,2018,2003,5/8,NEPTUNE,99.14%
94492554,2019,1994,5/8,BADGER,99.85%
82820094,2019,2006,5/8,NEPTUNE,98.97%
43766363,2019,1997,5/8,NEPTUNE,99.82%
80611724,2018,2005,5/8,NEPTUNE,99.00%
29780960,2018,1980,5/8,NEPTUNE,100.92%
14686562,2019,2014,"5/8""",BADGER,100.14%
42284688,2019,1996,5/8,NEPTUNE,98.81%
16990079,2019,2001,5/8,BADGER,100.02%
44129380,2019,1998,5/8,NEPTUNE,98.60%
90424527,2019,1994,5/8,BADGER,100.11%
46939511,2018,1999,5/8,NEPTUNE,98.87%
84833853,2019,2007,5/8,NEPTUNE,0.01%
35826169,2018,1991,5/8,NEPTUNE,98.81%
45574332,2019,1999,5/8,NEPTUNE,98.35%
80324996,2019,2004,5/8,NEPTUNE,99.89%
23759202,2018,1978,"5/8""",NEPTUNE,97.32%
9211419,2018,1965,5/8,BADGER,0.00%
43165021,2019,1997,5/8,NEPTUNE,99.41%
92842424,2019,2012,5/8,NEPTUNE,99.24%
